"gene"	"cor.ntop20"	"cor.mean"	"cor.sd"	"cor.median"	"cor.mean.sd.ratio"	"auc.gene"	"auc.ci95.min"	"auc.ci95.max"
"AASS"	0	-0.130983302411874	0.0709950545312359	-0.126315789473684	-1.84496375524643	0.425	0.168805347393476	0.681194652606524
"ABCA13"	0	0.18008658008658	0.070216723936329	0.178947368421053	2.56472489730336	0.45	0.186678682702199	0.713321317297801
"ABCC3"	0	-0.183797155225727	0.0740600786476302	-0.180451127819549	-2.4817304893803	0.441666666666667	0.162828472538413	0.72050486079492
"ACACB"	0	-0.220408163265306	0.081665565435341	-0.203007518796993	-2.69891186193788	0.208333333333333	0.00114889346107713	0.41551777320559
"ACAD9"	0	0.141125541125541	0.0799075590953207	0.133834586466165	1.76611002417424	0.625	0.376515271927737	0.873484728072264
"ACCS"	3.8961038961039	0.31317254174397	0.0647625671718844	0.315789473684211	4.83570302135782	0.608333333333333	0.349626703146696	0.867039963519971
"ACPL2"	0	0.141991341991342	0.0801004184984692	0.138345864661654	1.77266666832778	0.533333333333333	0.27515845335684	0.791508213309827
"ACTA2"	3.46320346320346	0.241187384044527	0.0660462041704242	0.23609022556391	3.65179781448412	0.691666666666667	0.457128620512637	0.926204712820697
"ACTN1"	6.06060606060606	0.318985776128633	0.0640258054298859	0.315789473684211	4.98214390255429	0.658333333333333	0.413607451172263	0.903059215494404
"ADAM12"	88.7445887445888	0.477179962894249	0.052191561800878	0.473684210526316	9.14285655437545	0.758333333333333	0.54497211008538	0.971694556581287
"ADAM23"	0	-0.168212739641311	0.0759012629933478	-0.160902255639098	-2.21620475084919	0.208333333333333	0.0134813887920676	0.403185277874599
"ADAMTS10"	0	-0.249350649350649	0.0525255892238098	-0.246616541353383	-4.74722231650129	0.341666666666667	0.0955354381428702	0.587797895190463
"ADCY9"	0	-0.248237476808905	0.0847458001649634	-0.233082706766917	-2.92920093179478	0.35	0.108544148835559	0.591455851164441
"ADK"	0	0.158936301793445	0.0759628703864575	0.159398496240601	2.09228931167113	0.533333333333333	0.274262408059414	0.792404258607253
"ADRB2"	0	-0.244526901669759	0.0676497691162428	-0.246616541353383	-3.61460068325714	0.541666666666667	0.283752848985161	0.799580484348172
"AFAP1"	0	-0.157946815089672	0.0791117218823335	-0.162406015037594	-1.99650331621645	0.541666666666667	0.284485233216407	0.798848100116927
"AGA"	0	-0.184475439631333	0.0764789875613092	-0.176758192266913	-2.41210619431186	0.5625	0.304411241387903	0.820588758612098
"AHI1"	0	0.144836116264688	0.085035880292198	0.133834586466165	1.70323533744821	0.541666666666667	0.286737284709617	0.796596048623717
"AHNAK"	0	-0.345701917130489	0.0611135932875031	-0.35187969924812	-5.65671070107377	0.525	0.271873910972864	0.778126089027136
"AHSP"	0	0.0535559678416821	0.0880663902493035	0.0481203007518797	0.608131747992313	0.483333333333333	0.226267178541213	0.740399488125453
"AK5"	0	0.0701298701298701	0.0754362331206905	0.0661654135338346	0.929657635710274	0.4	0.127189497957003	0.672810502042997
