Ensembl_IDs,Gene_symbols
ENSG00000001561,ENPP4
ENSG00000002933,TMEM176A
ENSG00000003137,CYP26B1
ENSG00000003436,TFPI
ENSG00000004468,CD38
ENSG00000004799,PDK4
ENSG00000004939,SLC4A1
ENSG00000005381,MPO
ENSG00000005961,ITGA2B
ENSG00000006282,SPATA20
ENSG00000006327,TNFRSF12A
ENSG00000010278,CD9
ENSG00000012223,LTF
ENSG00000012817,KDM5D
ENSG00000019169,MARCO
ENSG00000020426,MNAT1
ENSG00000020577,SAMD4A
ENSG00000022556,NLRP2
ENSG00000028116,VRK2
ENSG00000029534,ANK1
ENSG00000033170,FUT8
ENSG00000036448,MYOM2
ENSG00000042980,ADAM28
ENSG00000043591,ADRB1
ENSG00000044524,EPHA3
ENSG00000047597,XK
ENSG00000048462,TNFRSF17
ENSG00000049247,UTS2
ENSG00000049323,LTBP1
ENSG00000057252,SOAT1
ENSG00000057294,PKP2
ENSG00000060982,BCAT1
ENSG00000061676,NCKAP1
ENSG00000065534,MYLK
ENSG00000065618,COL17A1
ENSG00000066279,ASPM
ENSG00000066422,ZBTB11
ENSG00000066629,EML1
ENSG00000067048,DDX3Y
ENSG00000067191,CACNB1
ENSG00000067646,ZFY
ENSG00000067900,ROCK1
ENSG00000069188,SDK2
ENSG00000070808,CAMK2A
ENSG00000072422,RHOBTB1
ENSG00000072694,FCGR2B
ENSG00000073756,PTGS2
ENSG00000074590,NUAK1
ENSG00000075089,ACTR6
ENSG00000075223,SEMA3C
ENSG00000076864,RAP1GAP
ENSG00000077279,DCX
ENSG00000078081,LAMP3
ENSG00000078114,NEBL
ENSG00000078401,EDN1
ENSG00000079308,TNS1
ENSG00000080007,DDX43
ENSG00000080493,SLC4A4
ENSG00000081041,CXCL2
ENSG00000083454,P2RX5
ENSG00000086548,CEACAM6
ENSG00000087258,GNAO1
ENSG00000087502,ERGIC2
ENSG00000087903,RFX2
ENSG00000088325,TPX2
ENSG00000088827,SIGLEC1
ENSG00000089127,OAS1
ENSG00000089169,RPH3A
ENSG00000089225,TBX5
ENSG00000089685,BIRC5
ENSG00000090104,RGS1
ENSG00000090339,ICAM1
ENSG00000091129,NRCAM
ENSG00000091164,TXNL1
ENSG00000091409,ITGA6
ENSG00000091972,CD200
ENSG00000092067,CEBPE
ENSG00000092068,SLC7A8
ENSG00000093144,ECHDC1
ENSG00000094916,CBX5
ENSG00000095539,SEMA4G
ENSG00000096006,CRISP3
ENSG00000096872,IFT74
ENSG00000099725,PRKY
ENSG00000100116,GCAT
ENSG00000100290,BIK
ENSG00000100342,APOL1
ENSG00000100351,GRAP2
ENSG00000100376,FAM118A
ENSG00000100448,CTSG
ENSG00000100450,GZMH
ENSG00000100473,COCH
ENSG00000100721,TCL1A
ENSG00000100985,MMP9
ENSG00000101057,MYBL2
ENSG00000101335,MYL9
ENSG00000101868,POLA1
ENSG00000101986,ABCD1
ENSG00000102109,PCSK1N
ENSG00000102837,OLFM4
ENSG00000102854,MSLN
ENSG00000103056,SMPD3
ENSG00000103489,XYLT1
ENSG00000103740,ACSBG1
ENSG00000104067,TJP1
ENSG00000104177,MYEF2
ENSG00000104321,TRPA1
ENSG00000104361,NIPAL2
ENSG00000104450,SPAG1
ENSG00000104497,SNX16
ENSG00000104728,ARHGEF10
ENSG00000104918,RETN
ENSG00000105048,TNNT1
ENSG00000105366,SIGLEC8
ENSG00000105499,PLA2G4C
ENSG00000105507,CABP5
ENSG00000105662,CRTC1
ENSG00000105928,GSDME
ENSG00000105971,CAV2
ENSG00000106004,HOXA5
ENSG00000106772,PRUNE2
ENSG00000107104,KANK1
ENSG00000107281,NPDC1
ENSG00000107317,PTGDS
ENSG00000107331,ABCA2
ENSG00000107566,ERLIN1
ENSG00000107789,MINPP1
ENSG00000108423,TUBD1
ENSG00000108691,CCL2
ENSG00000108700,CCL8
ENSG00000108821,COL1A1
ENSG00000108839,ALOX12
ENSG00000109272,PF4V1
ENSG00000109819,PPARGC1A
ENSG00000109956,B3GAT1
ENSG00000110079,MS4A4A
ENSG00000110171,TRIM3
ENSG00000110203,FOLR3
ENSG00000110245,APOC3
ENSG00000110799,VWF
ENSG00000110848,CD69
ENSG00000110934,BIN2
ENSG00000111261,MANSC1
ENSG00000111291,GPRC5D
ENSG00000111331,OAS3
ENSG00000111537,IFNG
ENSG00000111711,GOLT1B
ENSG00000111728,ST8SIA1
ENSG00000111802,TDP2
ENSG00000112137,PHACTR1
ENSG00000112299,VNN1
ENSG00000112312,GMNN
ENSG00000112715,VEGFA
ENSG00000112759,SLC29A1
ENSG00000113140,SPARC
ENSG00000113273,ARSB
ENSG00000113303,BTNL8
ENSG00000113638,TTC33
ENSG00000114374,USP9Y
ENSG00000115008,IL1A
ENSG00000115009,CCL20
ENSG00000115112,TFCP2L1
ENSG00000115138,POMC
ENSG00000115590,IL1R2
ENSG00000115594,IL1R1
ENSG00000115648,MLPH
ENSG00000116030,SUMO1
ENSG00000116191,RALGPS2
ENSG00000116299,ELAPOR1
ENSG00000116396,KCNC4
ENSG00000116754,SRSF11
ENSG00000116983,HPCAL4
ENSG00000116985,BMP8B
ENSG00000117009,KMO
ENSG00000117115,PADI2
ENSG00000117281,CD160
ENSG00000117399,CDC20
ENSG00000117400,MPL
ENSG00000117407,ARTN
ENSG00000118113,MMP8
ENSG00000118985,ELL2
ENSG00000119508,NR4A3
ENSG00000119917,IFIT3
ENSG00000120738,EGR1
ENSG00000120875,DUSP4
ENSG00000120915,EPHX2
ENSG00000120925,RNF170
ENSG00000121653,MAPK8IP1
ENSG00000122435,TRMT13
ENSG00000122786,CALD1
ENSG00000122877,EGR2
ENSG00000123096,SSPN
ENSG00000123610,TNFAIP6
ENSG00000123689,G0S2
ENSG00000123700,KCNJ2
ENSG00000123838,C4BPA
ENSG00000124102,PI3
ENSG00000124107,SLPI
ENSG00000124440,HIF3A
ENSG00000124469,CEACAM8
ENSG00000124588,NQO2
ENSG00000124731,TREM1
ENSG00000124882,EREG
ENSG00000125538,IL1B
ENSG00000125740,FOSB
ENSG00000125968,ID1
ENSG00000126262,FFAR2
ENSG00000126890,CTAG2
ENSG00000126953,TIMM8A
ENSG00000127252,PLAAT1
ENSG00000127954,STEAP4
ENSG00000128040,SPINK2
ENSG00000128266,GNAZ
ENSG00000128512,DOCK4
ENSG00000128604,IRF5
ENSG00000129116,PALLD
ENSG00000129422,MTUS1
ENSG00000129824,RPS4Y1
ENSG00000130202,NECTIN2
ENSG00000130222,GADD45G
ENSG00000130529,TRPM4
ENSG00000130558,OLFM1
ENSG00000130656,HBZ
ENSG00000130844,ZNF331
ENSG00000130988,RGN
ENSG00000131153,GINS2
ENSG00000131482,G6PC1
ENSG00000131711,MAP1B
ENSG00000131746,TNS4
ENSG00000131747,TOP2A
ENSG00000132465,JCHAIN
ENSG00000132970,WASF3
ENSG00000133069,TMCC2
ENSG00000133742,CA1
ENSG00000134061,CD180
ENSG00000134138,MEIS2
ENSG00000134198,TSPAN2
ENSG00000134202,GSTM3
ENSG00000134321,RSAD2
ENSG00000134531,EMP1
ENSG00000134758,RNF138
ENSG00000134827,TCN1
ENSG00000134851,TMEM165
ENSG00000135052,GOLM1
ENSG00000135116,HRK
ENSG00000135318,NT5E
ENSG00000135535,CD164
ENSG00000135541,AHI1
ENSG00000135976,ANKRD36
ENSG00000136051,WASHC4
ENSG00000136231,IGF2BP3
ENSG00000136244,IL6
ENSG00000136603,SKIL
ENSG00000137198,GMPR
ENSG00000137203,TFAP2A
ENSG00000137269,LRRC1
ENSG00000137502,RAB30
ENSG00000137757,CASP5
ENSG00000137801,THBS1
ENSG00000137806,NDUFAF1
ENSG00000137877,SPTBN5
ENSG00000137959,IFI44L
ENSG00000137965,IFI44
ENSG00000138083,SIX3
ENSG00000138119,MYOF
ENSG00000138722,MMRN1
ENSG00000138772,ANXA3
ENSG00000139289,PHLDA1
ENSG00000139832,RAB20
ENSG00000140263,SORD
ENSG00000140350,ANP32A
ENSG00000140379,BCL2A1
ENSG00000140479,PCSK6
ENSG00000140859,KIFC3
ENSG00000140986,RPL3L
ENSG00000141682,PMAIP1
ENSG00000142892,PIGK
ENSG00000143416,SELENBP1
ENSG00000143995,MEIS1
ENSG00000144115,THNSL2
ENSG00000144218,AFF3
ENSG00000144645,OSBPL10
ENSG00000144677,CTDSPL
ENSG00000144724,PTPRG
ENSG00000145335,SNCA
ENSG00000145390,USP53
ENSG00000145431,PDGFC
ENSG00000145723,GIN1
ENSG00000146070,PLA2G7
ENSG00000146072,TNFRSF21
ENSG00000146122,DAAM2
ENSG00000146426,TIAM2
ENSG00000146674,IGFBP3
ENSG00000146733,PSPH
ENSG00000146918,NCAPG2
ENSG00000147592,LACTB2
ENSG00000147862,NFIB
ENSG00000148344,PTGES
ENSG00000148346,LCN2
ENSG00000149131,SERPING1
ENSG00000149516,MS4A3
ENSG00000149948,HMGA2
ENSG00000150637,CD226
ENSG00000150687,PRSS23
ENSG00000151491,EPS8
ENSG00000151640,DPYSL4
ENSG00000151693,ASAP2
ENSG00000151702,FLI1
ENSG00000151835,SACS
ENSG00000151914,DST
ENSG00000152253,SPC25
ENSG00000152778,IFIT5
ENSG00000152894,PTPRK
ENSG00000152952,PLOD2
ENSG00000153140,CETN3
ENSG00000153162,BMP6
ENSG00000153234,NR4A2
ENSG00000154027,AK5
ENSG00000154099,DNAAF1
ENSG00000154114,TBCEL
ENSG00000154330,PGM5
ENSG00000154620,TMSB4Y
