,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
gene27460,742.9209926,-0.457497754,0.104306811,-4.386077477,1.15E-05,0.020389637
gene31366,1623.653173,-0.367367519,0.086153667,-4.264096161,2.01E-05,0.020389637
gene25361,70.5895208,-0.544099261,0.127807023,-4.257193759,2.07E-05,0.020389637
gene18439,191.1073716,0.444506527,0.104558433,4.251273802,2.13E-05,0.020389637
gene27611,502.8351234,-0.386454159,0.094451176,-4.091575919,4.28E-05,0.029250537
gene35466,1239.079966,0.299981156,0.073589853,4.076392951,4.57E-05,0.029250537
gene32141,3110.372897,-0.361751144,0.090161728,-4.012247246,6.01E-05,0.032967208
gene40951,779.125355,-0.430732874,0.109438393,-3.935847942,8.29E-05,0.039762569
gene32102,362.6694732,-0.409235504,0.105303858,-3.886234655,0.000101811,0.040418442
gene30392,365.4860029,-0.374813112,0.096652286,-3.87795394,0.000105339,0.040418442
gene35005,1350.17207,-0.296789797,0.079235079,-3.745686905,0.000179901,0.054753483
gene37809,663.6583144,-0.386198764,0.103227309,-3.741246059,0.00018311,0.054753483
gene21710,89.0048867,0.459944807,0.123473142,3.725059562,0.000195269,0.054753483
gene36769,387.654533,0.33607016,0.09035852,3.719296854,0.000199778,0.054753483
gene15310,162.7757587,-0.451884792,0.123130015,-3.669980795,0.000242569,0.062049072
gene38926,101.7411953,-0.45775946,0.127698264,-3.584696041,0.000337471,0.076301152
gene32935,570.5959266,-0.413440224,0.115349345,-3.58424422,0.000338056,0.076301152
gene24298,847.2334889,-0.234305078,0.06612208,-3.543522508,0.00039482,0.084162379
gene3135,2614.685356,-0.387270922,0.109864112,-3.524999321,0.000423484,0.08467578
gene25232,355.0335251,-0.380210766,0.108197957,-3.514029072,0.000441365,0.08467578
gene23203,217.6929348,0.414626871,0.120133302,3.451389939,0.000557707,0.094439356
gene33478,788.2090393,0.300116043,0.086992779,3.449896039,0.000560802,0.094439356
gene20767,118.475696,0.361204133,0.104777041,3.44735955,0.000566095,0.094439356
gene12398,265.7764423,0.359691982,0.105533909,3.408307198,0.000653673,0.104505907
gene37697,1735.932307,0.444980428,0.131287649,3.389354838,0.000700573,0.107523929
gene3600,158.0366288,0.344707613,0.102485904,3.363463666,0.00076971,0.113591386
gene40839,325.9955257,-0.385441253,0.117111852,-3.291223265,0.000997527,0.141759683
gene19732,151.436885,-0.391523653,0.119367828,-3.279976347,0.001038158,0.142264709
gene37988,1345.127876,-0.29032727,0.089120648,-3.257688061,0.001123238,0.147642463
gene28976,317.1474899,-0.316389443,0.097352875,-3.249923988,0.001154359,0.147642463
gene33066,84.78652763,0.397718601,0.123996627,3.20749533,0.001338962,0.165631099
gene35315,201.0637148,-0.32283343,0.100932054,-3.198522335,0.001381338,0.165631099
gene41241,470.1218784,0.281278469,0.088512652,3.177833467,0.0014838,0.168918944
gene2868,1996.010529,-0.302799119,0.095549862,-3.16901682,0.001529555,0.168918944
gene23653,117.3878488,0.346887,0.109767476,3.160198386,0.001576617,0.168918944
gene10051,79.0351169,0.407006834,0.129238026,3.149280795,0.001636728,0.168918944
gene14616,271.3057884,0.374441442,0.119043636,3.145413349,0.001658523,0.168918944
gene19270,412.250253,0.258738903,0.082354007,3.141788855,0.001679191,0.168918944
